,country,sex,height,weight,age,years_cl,grades_max,grades_mean,year_last,max_fra
2041,other,0,174,58,33.0,16,66,49.96296296296296,2016,8b+/8c
2042,SWE,0,187,73,29.0,8,55,39.64,2014,7c
2043,AUT,0,175,63,27.0,6,51,43.888888888888886,2012,7b
2044,DEU,0,183,73,26.0,12,57,46.55172413793103,2010,7c+
2045,other,0,174,68,33.0,13,68,50.324543610547664,2016,8c/+
2046,USA,0,170,63,34.0,13,70,58.98550724637681,2017,8c+/9a
2047,ESP,0,176,68,33.0,11,62,46.48453608247423,2014,8a+/8b
2048,CZE,0,182,78,32.0,16,66,56.2265625,2016,8b+/8c
2049,other,0,173,63,19.0,3,49,38.291666666666664,2009,7a+
2050,POL,0,180,73,22.0,6,55,47.14035087719298,2011,7c
2051,SWE,0,178,63,18.0,9,55,43.84615384615385,2008,7c
2052,ESP,0,180,73,31.0,6,53,41.0,2009,7b+
2053,ESP,0,169,68,36.0,14,55,46.59512195121951,2014,7c
2054,ESP,0,170,68,35.0,10,68,61.02439024390244,2011,8c/+
2055,BRA,0,173,73,22.0,5,57,50.42857142857143,2010,7c+
2056,BRA,0,184,68,19.0,8,42,38.75,2006,6b+/6c
2057,MEX,0,168,68,37.0,12,49,37.640625,2017,7a+
2058,HRV,0,187,78,31.0,7,38,31.571428571428573,2012,6a+/6b
2059,NOR,0,176,78,24.0,4,45,40.52173913043478,2009,6c+
2060,NOR,0,174,73,29.0,4,49,44.285714285714285,2008,7a+
2061,other,0,173,63,24.0,6,59,47.84782608695652,2012,8a
2062,ESP,0,185,73,24.0,10,69,54.88549618320611,2016,8c+
2063,NOR,0,179,68,36.0,12,51,38.14423076923077,2017,7b
2064,NLD,0,187,73,39.0,14,55,42.911764705882355,2011,7c
2065,DEU,0,175,68,29.0,3,44,34.53333333333333,2009,6c/+
2066,ESP,0,175,63,35.0,11,51,38.78,2014,7b
2067,ZAF,0,168,88,34.0,15,40,31.615384615384617,2009,6b/+
2068,ITA,0,178,63,23.0,7,57,51.07692307692308,2011,7c+
2069,SWE,0,184,88,25.0,4,51,48.666666666666664,2007,7b
2070,BEL,0,190,78,19.0,6,56,49.0,2006,7c/+
2071,ITA,0,180,68,31.0,6,62,46.42553191489362,2011,8a+/8b
2072,other,0,176,88,25.0,15,64,49.7536231884058,2016,8b/+
2073,USA,0,180,73,27.0,10,66,63.666666666666664,2007,8b+/8c
2074,FRA,0,170,63,23.0,10,64,58.125,2013,8b/+
2075,ESP,0,174,78,44.0,17,55,46.78,2007,7c
2076,SWE,0,190,88,28.0,9,44,39.5,2009,6c/+
2077,GBR,0,178,68,23.0,12,64,57.59375,2012,8b/+
2078,ESP,0,180,68,29.0,8,55,49.75,2007,7c
2079,other,0,178,63,21.0,5,51,41.05555555555556,2010,7b
2080,BRA,0,178,63,27.0,11,59,50.25,2016,8a
2081,USA,0,177,63,25.0,9,53,41.48837209302326,2010,7b+
2082,other,0,175,83,40.0,12,49,35.47074468085106,2017,7a+
2083,FRA,0,176,68,23.0,6,66,59.46153846153846,2005,8b+/8c
2084,ESP,0,177,63,28.0,10,59,51.68,2008,8a
2085,USA,0,180,78,31.0,10,42,40.0,2009,6b+/6c
2086,CAN,0,173,83,32.0,17,51,47.666666666666664,2007,7b
2087,USA,0,181,68,23.0,5,53,44.22222222222222,2010,7b+
2088,ITA,0,185,68,33.0,12,66,50.58869179600887,2017,8b+/8c
2089,DNK,0,174,63,20.0,9,66,50.38059701492537,2011,8b+/8c
2090,NOR,0,179,73,40.0,10,44,38.833333333333336,2006,6c/+
2091,SVN,0,172,63,40.0,9,49,39.255102040816325,2013,7a+
2092,CAN,0,178,78,34.0,18,62,55.3,2009,8a+/8b
2093,POL,0,181,63,26.0,5,66,54.07142857142857,2007,8b+/8c
2094,AUT,0,190,73,30.0,18,62,47.02873563218391,2017,8a+/8b
2095,ITA,0,181,68,29.0,6,58,45.71900826446281,2017,7c+/8a
2096,FRA,0,178,63,48.0,25,62,52.169971671388105,2017,8a+/8b
2097,GBR,0,169,73,27.0,16,66,53.589285714285715,2016,8b+/8c
2098,FIN,0,167,58,32.0,7,49,49.0,2010,7a+
2099,AUT,0,174,68,32.0,20,74,62.09056603773585,2015,9a+/9b
2100,other,0,181,63,35.0,15,66,51.736196319018404,2015,8b+/8c
2101,CHE,0,166,58,28.0,8,53,44.125,2006,7b+
2102,ITA,0,182,78,32.0,6,56,51.25,2007,7c/+
2103,USA,0,168,68,20.0,16,72,54.06666666666667,2014,9a/+
2104,SWE,0,183,78,30.0,7,46,38.785714285714285,2008,6c+/7a
