,user_id,date_first,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_first,year_last
24247,51682,2013-10-10 22:00:00,2015-04-09 22:00:00,47,46,51,59,51.48936170212766,2013,2015
24248,51683,2013-10-11 22:00:00,2013-10-11 22:00:00,1,56,56,56,56.0,2013,2013
24249,51684,2013-10-12 22:00:00,2017-09-07 22:00:00,1060,42,44,64,43.03490566037736,2013,2017
24250,51685,2013-09-15 22:00:00,2017-06-16 22:00:00,182,49,42,55,44.79120879120879,2013,2017
24251,51686,2013-10-06 22:00:00,2017-09-08 22:00:00,267,38,42,62,44.59550561797753,2013,2017
24252,51688,2013-10-12 22:00:00,2014-11-22 23:00:00,18,44,38,44,41.0,2013,2014
24253,51689,2013-06-15 22:00:00,2014-03-08 23:00:00,7,33,38,46,38.714285714285715,2013,2014
24254,51690,2013-10-02 22:00:00,2013-10-09 22:00:00,18,42,59,59,45.666666666666664,2013,2013
24255,51692,2013-02-23 23:00:00,2017-05-16 22:00:00,74,62,59,63,54.66216216216216,2013,2017
24256,51693,2013-10-12 22:00:00,2014-03-20 23:00:00,7,53,51,53,49.285714285714285,2013,2014
24257,51694,2013-02-16 23:00:00,2017-05-15 22:00:00,125,57,62,66,57.16,2013,2017
24258,51695,2013-10-12 22:00:00,2017-09-03 22:00:00,222,41,49,53,39.46396396396396,2013,2017
24259,51697,2013-10-13 22:00:00,2016-11-13 23:00:00,5,51,49,53,50.6,2013,2016
24260,51698,2013-10-12 22:00:00,2014-05-09 22:00:00,62,31,33,40,29.967741935483872,2013,2014
24261,51699,2013-10-13 22:00:00,2013-10-13 22:00:00,1,36,36,36,36.0,2013,2013
24262,51701,2013-10-13 22:00:00,2014-03-08 23:00:00,11,46,46,51,45.54545454545455,2013,2014
24263,51706,2013-09-14 22:00:00,2015-12-26 23:00:00,90,49,53,53,45.3,2013,2015
24264,51708,2015-02-02 23:00:00,2015-02-02 23:00:00,1,49,49,49,49.0,2015,2015
24265,51711,2012-08-11 22:00:00,2011-05-14 22:00:00,3,46,40,46,44.0,2012,2011
24266,51719,2013-10-11 22:00:00,2017-08-20 22:00:00,361,49,49,62,47.797783933518005,2013,2017
24267,51726,2013-10-30 23:00:00,2017-09-10 22:00:00,438,49,53,62,45.39497716894977,2013,2017
24268,51730,2013-08-15 22:00:00,2017-07-17 22:00:00,66,51,51,59,51.84848484848485,2013,2017
24269,51738,2013-11-23 23:00:00,2017-08-01 22:00:00,126,46,44,55,47.72222222222222,2013,2017
24270,51742,2013-09-25 22:00:00,2012-08-19 22:00:00,200,55,44,62,52.45,2013,2012
24271,51743,2014-04-11 22:00:00,2017-08-19 22:00:00,72,36,36,53,43.666666666666664,2014,2017
24272,51744,2013-04-12 22:00:00,2013-05-10 22:00:00,3,35,35,38,36.0,2013,2013
24273,51745,2013-07-13 22:00:00,2013-10-12 22:00:00,13,21,15,31,21.0,2013,2013
24274,51747,2013-09-16 22:00:00,2014-02-17 23:00:00,9,36,36,38,35.77777777777778,2013,2014
24275,51751,2013-10-09 22:00:00,2013-08-02 22:00:00,3,49,49,49,49.0,2013,2013
24276,51753,2013-09-13 22:00:00,2014-01-24 23:00:00,96,38,40,51,38.5625,2013,2014
24277,51754,2013-08-27 22:00:00,2017-09-09 22:00:00,292,42,49,62,47.0958904109589,2013,2017
24278,51756,2013-01-07 23:00:00,2013-01-07 23:00:00,1,36,36,36,36.0,2013,2013
24279,51763,2015-03-30 22:00:00,2012-03-26 22:00:00,9,62,59,62,61.0,2015,2012
24280,51764,2015-07-21 22:00:00,2015-07-21 22:00:00,2,36,44,44,40.0,2015,2015
24281,51765,2013-10-04 22:00:00,2014-05-21 22:00:00,18,57,49,62,49.44444444444444,2013,2014
24282,51768,2013-05-22 22:00:00,2017-09-02 22:00:00,263,43,53,62,49.57794676806083,2013,2017
24283,51770,2013-09-27 22:00:00,2013-09-27 22:00:00,1,49,49,49,49.0,2013,2013
24284,51771,2013-01-01 23:00:00,2017-03-31 22:00:00,55,40,31,51,38.45454545454545,2013,2017
24285,51774,2012-05-19 22:00:00,2017-09-04 22:00:00,242,33,40,57,40.36363636363637,2012,2017
24286,51775,2013-09-06 22:00:00,2016-08-24 22:00:00,89,23,31,42,31.10112359550562,2013,2016
24287,51777,2013-10-17 22:00:00,2013-11-07 23:00:00,26,36,29,49,39.34615384615385,2013,2013
24288,51784,2013-10-19 22:00:00,2013-10-19 22:00:00,2,50,51,51,50.5,2013,2013
24289,51786,2012-06-15 22:00:00,2015-01-07 23:00:00,75,31,55,64,50.22666666666667,2012,2015
24290,51790,2013-11-14 23:00:00,2017-09-09 22:00:00,144,40,58,64,49.34027777777778,2013,2017
24291,51792,2016-12-24 23:00:00,2017-08-23 22:00:00,8,59,57,62,59.625,2016,2017
24292,51793,2014-02-14 23:00:00,2015-02-14 23:00:00,65,44,49,55,46.46153846153846,2014,2015
24293,51794,2013-10-20 22:00:00,2017-09-05 22:00:00,68,40,29,42,33.338235294117645,2013,2017
24294,51804,2013-10-20 22:00:00,2016-07-27 22:00:00,48,51,46,55,47.083333333333336,2013,2016
24295,51806,2013-10-14 22:00:00,2014-08-15 22:00:00,73,53,50,56,47.75342465753425,2013,2014
24296,51807,2013-10-18 22:00:00,2014-03-24 23:00:00,56,44,40,51,39.517857142857146,2013,2014
24297,51811,2013-11-04 23:00:00,2017-09-08 22:00:00,173,53,53,59,47.786127167630056,2013,2017
24298,51812,2013-10-13 22:00:00,2013-10-13 22:00:00,2,44,40,44,42.0,2013,2013
24299,51816,2014-01-25 23:00:00,2015-06-16 22:00:00,53,57,55,59,48.43396226415094,2014,2015
24300,51818,2013-10-05 22:00:00,2013-10-05 22:00:00,1,51,51,51,51.0,2013,2013
24301,51819,2013-10-14 22:00:00,2017-02-02 23:00:00,191,38,53,62,44.460732984293195,2013,2017
24302,51825,2013-10-22 22:00:00,2013-10-22 22:00:00,3,51,51,51,51.0,2013,2013
24303,51828,2013-10-21 22:00:00,2014-12-01 23:00:00,74,49,53,53,47.5945945945946,2013,2014
24304,51830,2013-10-22 22:00:00,2013-10-22 22:00:00,2,55,55,55,55.0,2013,2013
