,grades_max
629,57
630,75
631,57
632,62
633,57
634,68
635,54
636,42
637,57
638,48
639,64
640,44
641,55
642,51
643,58
644,59
645,46
646,46
647,55
648,55
649,42
650,66
651,62
652,44
653,53
654,66
655,68
656,55
657,57
658,49
659,62
660,62
661,44
662,55
663,57
664,57
665,49
666,59
667,68
668,55
669,62
670,59
671,42
672,55
673,72
674,55
675,62
676,40
677,66
678,64
679,62
680,36
681,55
682,48
683,46
684,62
685,53
686,62
687,51
688,59
689,64
690,42
691,57
692,51
693,53
694,44
695,68
696,53
697,55
698,74
699,57
700,66
701,46
702,64
703,51
704,51
705,64
706,64
707,40
708,62
709,59
710,57
711,62
712,46
713,53
714,62
715,64
716,51
717,57
718,57
719,46
720,55
721,75
722,62
723,57
724,57
725,33
726,53
727,55
728,59
729,66
730,75
731,55
732,46
733,64
734,49
735,66
736,57
737,55
738,62
739,46
740,40
741,38
742,59
743,46
744,53
745,66
746,49
747,55
748,49
749,56
750,70
751,49
752,66
753,53
754,53
755,68
756,57
757,59
758,51
759,49
760,70
761,51
762,64
763,59
764,53
765,62
766,62
767,62
768,66
769,66
770,46
771,66
772,46
773,64
774,59
775,62
776,57
777,53
778,44
779,44
780,57
781,59
782,53
783,51
784,42
785,57
786,62
787,49
788,62
789,59
790,59
791,51
792,58
793,49
794,46
795,59
796,44
797,46
798,53
799,55
800,46
801,58
802,40
803,62
804,51
805,68
806,69
807,53
808,62
809,62
810,62
811,62
812,57
813,57
814,49
815,59
816,70
817,59
818,44
819,57
820,64
821,51
822,44
823,66
824,68
825,53
826,55
827,51
828,51
829,62
830,55
831,68
832,62
833,57
834,40
835,42
836,53
837,62
838,53
839,68
840,36
841,51
842,38
843,38
844,59
845,57
846,42
847,57
848,56
849,65
850,62
851,53
852,55
853,59
854,51
855,58
856,66
857,68
858,51
859,51
860,55
861,62
862,64
863,44
864,46
865,59
866,59
867,53
868,53
869,55
870,49
871,59
872,57
873,51
874,68
875,50
876,59
877,64
878,57
879,55
880,49
881,55
882,57
883,64
884,57
885,57
886,33
887,46
888,55
889,62
890,53
891,75
892,40
893,58
894,59
895,57
896,46
897,59
898,55
899,49
900,62
901,51
902,62
903,64
904,44
905,53
906,68
907,52
908,64
909,59
910,57
911,33
912,44
913,68
914,49
915,59
916,57
917,51
918,46
919,66
920,49
921,66
922,51
923,62
924,46
925,57
926,64
927,57
928,57
929,70
930,41
931,61
932,62
933,64
934,62
935,49
936,44
937,51
938,49
939,74
940,59
941,66
942,75
943,64
944,59
945,66
946,59
947,59
948,59
949,53
950,68
951,61
952,49
953,62
954,57
955,66
956,45
957,57
958,53
959,72
960,54
961,77
962,68
963,59
964,49
965,66
966,49
967,57
968,53
969,36
970,59
971,66
972,38
973,42
974,62
975,57
976,55
977,59
978,68
979,66
980,64
981,55
982,68
983,44
984,53
985,55
986,42
987,64
988,46
989,62
990,59
991,56
992,62
993,44
994,62
995,75
996,70
997,55
998,55
999,57
1000,55
1001,57
1002,70
1003,66
1004,64
1005,51
1006,68
1007,53
1008,59
1009,44
1010,68
1011,64
1012,66
1013,49
1014,66
1015,57
1016,42
1017,68
1018,57
1019,66
1020,66
1021,53
1022,55
1023,49
1024,53
1025,66
1026,59
1027,64
1028,55
1029,46
1030,40
1031,53
1032,51
1033,57
1034,64
1035,62
1036,64
1037,68
1038,68
1039,53
1040,49
1041,51
1042,53
1043,62
1044,57
1045,59
1046,68
1047,59
1048,59
1049,64
1050,51
1051,42
1052,66
1053,46
1054,49
1055,70
1056,49
1057,44
1058,64
1059,38
1060,66
1061,55
1062,59
1063,62
1064,50
1065,49
1066,53
1067,72
1068,66
1069,40
1070,44
1071,57
1072,53
1073,49
1074,55
1075,59
1076,53
1077,62
1078,70
1079,64
1080,62
1081,62
1082,51
1083,51
1084,53
1085,49
1086,49
1087,57
1088,49
1089,62
1090,68
1091,62
1092,55
1093,49
1094,40
1095,62
1096,61
1097,62
1098,62
1099,75
1100,68
1101,66
1102,51
1103,59
1104,49
1105,46
1106,62
1107,66
1108,57
1109,72
1110,55
1111,40
1112,36
1113,53
1114,44
1115,77
1116,57
1117,53
1118,40
1119,49
1120,59
1121,49
1122,40
1123,70
1124,40
1125,51
1126,51
1127,46
1128,62
1129,57
1130,46
1131,42
1132,66
1133,55
1134,57
1135,62
1136,75
1137,59
1138,62
1139,55
1140,64
1141,64
1142,68
1143,66
1144,62
1145,62
1146,62
1147,62
1148,70
1149,62
1150,53
1151,62
1152,68
1153,62
1154,53
1155,50
1156,57
1157,59
1158,59
1159,49
1160,59
1161,53
1162,49
1163,51
1164,49
1165,59
1166,62
1167,69
1168,51
1169,53
1170,53
1171,65
1172,53
1173,64
1174,59
1175,62
1176,51
1177,58
1178,42
1179,51
1180,57
1181,51
1182,58
1183,59
1184,75
1185,53
1186,46
1187,66
1188,66
1189,59
1190,62
1191,53
1192,49
1193,62
1194,51
1195,55
1196,53
1197,38
1198,59
1199,68
1200,53
1201,62
1202,49
1203,64
1204,58
1205,62
1206,51
1207,68
1208,42
1209,65
1210,62
1211,64
1212,48
1213,48
1214,66
1215,44
1216,53
1217,51
1218,64
1219,55
1220,40
1221,57
1222,59
1223,62
1224,70
1225,49
1226,49
1227,51
1228,64
1229,55
1230,64
1231,44
1232,49
1233,62
1234,57
1235,53
1236,62
1237,57
1238,55
1239,70
1240,55
1241,55
1242,62
1243,72
1244,53
1245,64
1246,64
1247,64
1248,59
1249,55
1250,49
1251,51
1252,66
1253,59
1254,62
1255,66
1256,59
1257,59
1258,62
1259,33
1260,64
1261,40
1262,57
1263,68
1264,57
1265,57
1266,55
1267,75
1268,70
1269,77
1270,44
1271,62
1272,57
1273,46
1274,46
1275,57
1276,49
1277,40
1278,62
1279,57
1280,49
1281,51
1282,57
1283,62
1284,46
1285,62
1286,66
1287,57
1288,49
1289,62
1290,66
1291,36
1292,32
1293,64
1294,44
1295,57
1296,53
1297,53
1298,49
1299,65
1300,62
1301,55
1302,50
1303,53
1304,51
1305,46
1306,62
1307,46
1308,72
1309,51
1310,57
1311,62
1312,62
1313,62
1314,57
1315,55
1316,44
1317,44
1318,57
1319,46
1320,62
1321,51
1322,64
1323,57
1324,68
1325,64
1326,55
1327,68
1328,57
1329,46
1330,70
1331,57
1332,53
1333,55
1334,70
1335,40
1336,40
1337,64
1338,42
1339,68
1340,57
1341,54
1342,59
1343,64
1344,59
1345,51
1346,52
1347,54
1348,62
1349,62
1350,62
1351,70
1352,64
1353,72
1354,36
1355,51
1356,62
1357,55
1358,59
1359,55
1360,55
1361,64
1362,57
1363,53
1364,36
1365,64
1366,59
1367,55
1368,62
1369,59
1370,68
1371,57
1372,49
1373,59
1374,57
1375,64
1376,68
1377,70
1378,56
1379,62
1380,46
1381,62
1382,55
1383,66
1384,44
1385,57
1386,51
1387,36
1388,64
1389,62
1390,56
1391,62
1392,53
1393,62
1394,45
1395,59
1396,65
1397,44
1398,53
1399,65
1400,70
1401,59
1402,55
1403,64
1404,50
1405,53
1406,59
1407,66
1408,68
1409,38
1410,62
1411,55
1412,40
1413,65
1414,53
1415,66
1416,64
1417,49
1418,51
1419,68
1420,53
1421,57
1422,64
1423,62
1424,68
1425,59
1426,51
1427,46
1428,49
1429,55
1430,65
1431,44
1432,49
1433,62
1434,57
1435,44
1436,55
1437,57
1438,51
1439,64
1440,57
1441,56
1442,53
1443,68
1444,59
1445,51
1446,75
1447,66
1448,66
1449,57
1450,68
1451,57
1452,64
1453,55
1454,64
1455,55
1456,57
1457,59
1458,64
1459,46
1460,64
1461,62
1462,49
1463,75
1464,53
1465,61
1466,51
1467,55
1468,59
1469,62
1470,53
1471,66
1472,42
1473,57
1474,36
1475,44
1476,49
1477,51
1478,49
1479,59
1480,56
1481,53
1482,49
1483,55
1484,68
1485,64
1486,72
1487,62
1488,58
1489,64
1490,40
1491,59
1492,62
1493,59
1494,66
1495,56
1496,57
1497,53
1498,55
1499,53
1500,64
1501,62
1502,57
1503,59
1504,46
1505,57
1506,66
1507,52
1508,53
1509,57
1510,66
1511,57
1512,64
1513,49
1514,44
1515,66
1516,62
1517,51
1518,49
1519,62
1520,62
1521,53
1522,51
1523,57
1524,54
1525,62
1526,62
1527,62
1528,55
1529,70
1530,62
1531,53
1532,49
1533,62
1534,63
1535,51
1536,62
1537,62
1538,64
1539,51
1540,66
1541,62
1542,49
1543,76
1544,64
1545,53
1546,62
1547,68
1548,53
1549,64
1550,62
1551,52
1552,51
1553,62
1554,51
1555,44
1556,46
1557,64
1558,53
1559,42
1560,62
1561,55
1562,49
1563,53
1564,62
1565,64
1566,64
1567,53
1568,49
1569,62
1570,59
1571,66
1572,62
1573,51
1574,64
1575,64
1576,53
1577,55
1578,42
1579,50
1580,53
1581,62
1582,64
1583,53
1584,66
1585,59
1586,49
1587,57
1588,57
1589,64
1590,53
1591,55
1592,53
1593,59
1594,62
1595,66
1596,57
1597,68
1598,64
1599,42
1600,40
1601,67
1602,53
1603,75
1604,66
1605,64
1606,62
1607,57
1608,63
1609,70
1610,57
1611,46
1612,70
1613,62
1614,57
1615,62
1616,62
1617,63
1618,66
1619,55
1620,66
1621,55
1622,54
1623,49
1624,66
1625,62
1626,42
1627,44
1628,53
1629,55
1630,72
1631,51
1632,57
1633,55
1634,68
1635,57
1636,62
1637,64
1638,55
1639,36
1640,55
1641,59
1642,62
1643,57
1644,62
1645,66
1646,64
1647,50
1648,59
1649,53
1650,53
1651,53
1652,59
1653,56
1654,55
1655,53
1656,66
1657,52
1658,64
1659,72
1660,44
1661,51
1662,66
1663,59
1664,62
1665,55
1666,57
1667,44
1668,64
1669,49
1670,59
1671,56
1672,68
1673,40
1674,66
1675,57
1676,57
1677,59
1678,57
1679,62
1680,75
1681,44
1682,64
1683,55
1684,51
1685,57
1686,66
1687,51
1688,44
1689,49
1690,68
1691,51
1692,62
1693,53
1694,75
1695,69
1696,55
1697,59
1698,66
1699,64
1700,57
1701,53
1702,59
1703,57
1704,62
1705,57
1706,70
1707,64
1708,62
1709,49
1710,49
1711,68
1712,44
1713,55
1714,59
1715,55
1716,59
1717,57
1718,62
1719,59
1720,51
1721,49
1722,56
1723,68
1724,66
1725,55
1726,64
1727,68
1728,70
1729,46
1730,49
1731,53
1732,49
1733,57
1734,58
1735,46
1736,62
1737,53
1738,51
1739,57
1740,51
1741,49
1742,62
1743,62
1744,51
1745,57
1746,58
1747,55
1748,38
1749,59
1750,57
1751,64
1752,64
1753,44
1754,46
1755,55
1756,62
1757,55
1758,66
1759,57
1760,62
1761,50
1762,62
1763,62
1764,49
1765,64
1766,53
1767,64
1768,51
1769,70
1770,63
1771,59
1772,46
1773,55
1774,59
1775,46
1776,62
1777,62
1778,49
1779,57
1780,57
1781,55
1782,55
1783,72
1784,64
1785,42
1786,49
1787,66
1788,59
1789,55
1790,57
1791,65
1792,55
1793,51
1794,53
1795,42
1796,51
1797,57
1798,55
1799,66
1800,70
1801,46
1802,66
1803,70
1804,59
1805,49
1806,62
1807,68
1808,64
1809,55
1810,66
1811,62
1812,53
1813,58
1814,66
1815,44
1816,55
1817,70
1818,57
1819,68
1820,57
1821,64
1822,55
1823,62
1824,62
1825,57
1826,51
1827,55
1828,68
1829,48
1830,53
1831,44
1832,70
1833,53
1834,55
1835,68
1836,53
1837,64
1838,57
1839,70
1840,42
1841,75
1842,62
1843,64
1844,53
1845,55
1846,72
1847,42
1848,55
1849,53
1850,68
1851,49
1852,62
1853,64
1854,55
1855,72
1856,38
1857,51
1858,66
1859,62
1860,42
1861,62
1862,62
1863,49
1864,57
1865,55
1866,64
1867,66
1868,62
1869,66
1870,66
1871,59
1872,68
1873,46
1874,62
1875,53
1876,70
1877,70
1878,33
1879,55
1880,49
1881,62
1882,53
1883,55
1884,55
1885,68
1886,46
1887,55
1888,46
1889,57
1890,66
1891,70
1892,66
1893,66
1894,57
1895,62
1896,53
1897,55
1898,58
1899,64
1900,62
1901,62
1902,68
1903,53
1904,55
1905,64
1906,59
1907,61
1908,52
1909,40
1910,69
1911,57
1912,49
1913,70
1914,53
1915,59
1916,66
1917,62
1918,64
1919,72
1920,59
1921,53
1922,55
1923,51
1924,55
1925,57
1926,62
1927,36
1928,57
1929,42
1930,53
1931,64
1932,59
1933,57
1934,55
1935,46
1936,57
1937,51
1938,59
1939,51
1940,70
1941,46
1942,70
1943,53
1944,53
1945,42
1946,53
1947,38
1948,53
1949,46
1950,62
1951,66
1952,55
1953,62
1954,53
1955,55
1956,64
1957,57
1958,62
1959,68
1960,59
1961,57
1962,68
1963,68
1964,49
1965,62
1966,75
1967,46
1968,51
1969,55
1970,62
1971,53
1972,49
1973,57
1974,68
1975,57
1976,68
1977,59
1978,59
1979,62
1980,64
1981,62
1982,55
1983,45
1984,57
1985,62
1986,70
1987,62
1988,59
1989,61
1990,59
1991,53
1992,56
1993,66
1994,59
1995,51
1996,49
1997,68
1998,53
1999,55
2000,66
2001,49
2002,51
2003,57
2004,51
2005,68
2006,55
2007,55
2008,68
2009,59
2010,38
2011,59
2012,66
2013,57
2014,57
2015,66
2016,52
2017,55
2018,42
2019,59
2020,53
2021,57
2022,51
2023,42
2024,57
2025,55
2026,51
2027,70
2028,51
2029,59
2030,42
2031,49
2032,62
2033,62
2034,42
2035,51
2036,62
2037,55
2038,55
2039,62
2040,51
2041,62
2042,59
2043,64
2044,49
2045,40
2046,64
2047,68
2048,59
2049,65
2050,55
2051,59
2052,57
2053,59
2054,70
2055,66
2056,70
2057,51
2058,49
2059,55
2060,53
2061,53
2062,50
2063,72
2064,62
2065,53
2066,59
2067,64
2068,49
2069,64
2070,46
2071,70
2072,59
2073,44
2074,62
2075,59
2076,59
2077,64
2078,64
2079,51
2080,59
2081,53
2082,59
2083,53
2084,63
2085,53
2086,59
2087,57
2088,62
2089,53
2090,53
2091,39
2092,49
2093,62
2094,62
2095,51
2096,59
2097,62
2098,49
2099,75
2100,64
2101,49
2102,68
2103,66
2104,55
2105,44
2106,51
2107,44
2108,51
2109,68
2110,57
2111,44
2112,57
2113,68
2114,62
2115,63
2116,59
2117,49
2118,49
2119,55
2120,62
2121,62
2122,52
2123,42
2124,62
2125,64
2126,57
2127,57
2128,72
2129,57
2130,62
2131,53
2132,49
2133,55
2134,59
2135,44
2136,44
2137,53
2138,62
2139,62
2140,36
2141,62
2142,62
2143,53
2144,62
2145,62
2146,62
2147,46
2148,49
2149,70
2150,66
2151,57
2152,70
2153,64
2154,64
2155,59
2156,53
2157,38
2158,64
2159,57
2160,51
2161,59
2162,55
2163,62
2164,62
2165,64
2166,49
2167,55
2168,53
2169,64
2170,55
2171,62
2172,53
2173,55
2174,51
2175,57
2176,58
2177,51
2178,66
2179,64
2180,46
2181,40
2182,51
2183,50
2184,53
2185,55
2186,66
2187,51
2188,62
2189,61
2190,59
2191,55
2192,66
2193,62
2194,53
2195,62
2196,55
2197,52
2198,55
2199,53
2200,66
2201,53
2202,40
2203,46
2204,64
2205,49
2206,49
2207,57
2208,66
2209,51
2210,52
2211,62
2212,68
2213,53
2214,62
2215,54
2216,55
2217,64
2218,64
2219,46
2220,64
2221,57
2222,66
2223,51
2224,53
2225,35
2226,66
2227,46
2228,57
2229,69
2230,54
2231,63
2232,57
2233,53
2234,59
2235,55
2236,62
2237,70
2238,49
2239,62
2240,64
2241,53
2242,36
2243,57
2244,64
2245,46
2246,57
2247,69
2248,59
2249,57
2250,51
2251,62
2252,72
2253,68
2254,53
2255,64
2256,51
2257,55
2258,44
2259,53
2260,57
2261,62
2262,68
2263,61
2264,62
2265,64
2266,68
2267,62
2268,55
2269,75
2270,62
2271,57
2272,39
2273,44
2274,66
2275,46
2276,64
2277,62
2278,70
2279,57
2280,62
2281,66
2282,53
2283,55
2284,64
2285,53
2286,55
2287,55
2288,57
2289,44
2290,39
2291,55
2292,44
2293,49
2294,72
2295,44
2296,64
2297,51
2298,64
2299,40
2300,64
2301,44
2302,55
2303,62
2304,64
2305,44
2306,49
2307,62
2308,64
2309,57
2310,46
2311,55
2312,57
2313,68
2314,64
2315,64
2316,40
2317,55
2318,53
2319,70
2320,56
2321,59
2322,72
2323,57
2324,42
2325,51
2326,49
2327,55
2328,72
2329,62
2330,70
2331,61
2332,59
2333,62
2334,44
2335,64
2336,58
2337,68
2338,68
2339,59
2340,44
2341,62
2342,59
2343,57
2344,55
2345,56
2346,53
2347,66
2348,52
2349,64
2350,62
2351,55
2352,40
2353,51
2354,64
2355,46
2356,53
2357,65
2358,64
2359,54
2360,70
2361,57
2362,66
2363,59
2364,62
2365,52
2366,49
2367,53
2368,64
2369,59
2370,40
2371,53
2372,58
2373,62
2374,64
2375,55
2376,64
2377,53
2378,70
2379,64
2380,57
2381,62
2382,49
2383,57
2384,49
2385,55
2386,49
2387,53
2388,66
2389,57
2390,51
2391,62
2392,59
2393,57
2394,49
2395,57
2396,55
2397,42
2398,62
2399,70
2400,62
2401,44
2402,66
2403,55
2404,33
2405,68
2406,49
2407,57
2408,66
2409,57
2410,51
2411,66
2412,53
2413,55
2414,54
2415,44
2416,44
2417,55
2418,51
2419,64
2420,42
2421,64
2422,53
2423,62
2424,55
2425,53
2426,55
2427,46
2428,64
2429,57
2430,53
2431,57
2432,62
2433,33
2434,62
2435,64
2436,59
2437,55
2438,69
2439,67
2440,62
2441,40
2442,66
2443,62
2444,36
2445,51
2446,66
2447,64
2448,62
2449,49
2450,59
2451,62
2452,72
2453,59
2454,55
2455,68
2456,52
2457,55
2458,46
2459,55
2460,68
2461,70
2462,62
2463,57
2464,66
2465,53
2466,46
2467,57
2468,38
2469,51
2470,49
2471,74
2472,55
2473,42
2474,66
2475,59
2476,66
2477,57
2478,53
2479,56
2480,59
2481,59
2482,64
2483,51
2484,53
2485,49
2486,59
2487,62
2488,44
2489,49
2490,49
2491,59
2492,59
2493,68
2494,44
2495,44
2496,62
2497,38
2498,51
2499,63
2500,48
2501,57
2502,55
2503,63
2504,42
2505,46
2506,68
2507,46
2508,53
2509,68
2510,62
2511,51
2512,57
2513,70
2514,62
2515,53
2516,62
2517,57
2518,46
2519,44
2520,64
2521,70
2522,64
2523,56
2524,58
2525,66
2526,66
2527,55
2528,64
2529,55
2530,54
2531,53
2532,55
2533,66
2534,55
2535,62
2536,64
2537,51
2538,59
2539,70
2540,48
2541,44
2542,68
2543,55
2544,59
2545,38
2546,44
2547,66
2548,66
2549,54
2550,57
2551,66
2552,59
2553,68
2554,62
2555,59
2556,62
2557,51
2558,64
2559,68
2560,53
2561,62
2562,59
2563,55
2564,40
2565,62
2566,53
2567,59
2568,57
2569,61
2570,51
2571,70
2572,62
2573,49
2574,46
2575,53
2576,55
2577,55
2578,68
2579,62
2580,55
2581,59
2582,70
2583,62
2584,57
2585,49
2586,64
2587,51
2588,55
2589,59
2590,64
2591,53
2592,55
2593,68
2594,68
2595,65
2596,51
2597,55
2598,40
2599,66
2600,49
2601,59
2602,57
2603,53
2604,57
2605,59
2606,53
2607,55
2608,68
2609,62
2610,66
2611,57
2612,64
2613,66
2614,66
2615,38
2616,64
2617,55
2618,57
2619,44
2620,62
2621,66
2622,64
2623,58
2624,68
2625,57
2626,59
2627,54
2628,50
2629,55
2630,51
2631,40
2632,55
2633,51
2634,62
2635,66
2636,64
2637,49
2638,46
2639,64
2640,59
2641,70
2642,59
2643,38
2644,64
2645,54
2646,62
2647,59
2648,51
2649,64
2650,49
2651,44
2652,59
2653,66
2654,62
2655,64
2656,62
2657,53
2658,44
2659,49
2660,57
2661,70
2662,53
2663,62
2664,63
2665,48
2666,64
2667,68
2668,57
2669,57
2670,64
2671,53
2672,59
2673,59
2674,62
2675,53
2676,70
2677,53
2678,57
2679,62
2680,57
2681,57
2682,58
2683,53
2684,68
2685,70
2686,57
2687,46
2688,57
2689,42
2690,57
2691,65
2692,59
2693,57
2694,49
2695,66
2696,64
2697,53
2698,62
2699,64
2700,46
2701,66
2702,59
2703,70
2704,53
2705,77
2706,62
2707,57
2708,62
2709,55
2710,49
2711,64
2712,59
2713,53
2714,68
2715,66
2716,53
2717,59
2718,55
2719,53
2720,51
2721,49
2722,62
2723,44
2724,64
2725,55
2726,51
2727,49
2728,62
2729,59
2730,57
2731,72
2732,55
2733,65
2734,57
2735,53
2736,44
2737,51
2738,64
2739,62
2740,64
2741,62
2742,62
2743,38
2744,66
2745,53
2746,55
2747,66
2748,66
2749,59
2750,68
2751,68
2752,64
2753,55
2754,66
2755,51
2756,57
2757,66
2758,59
2759,59
2760,72
2761,51
2762,51
2763,49
2764,57
2765,56
2766,53
2767,55
2768,49
2769,62
2770,62
2771,53
2772,55
2773,58
2774,62
2775,64
2776,64
2777,64
2778,70
2779,62
2780,51
2781,51
2782,70
2783,57
2784,41
2785,51
2786,44
2787,55
2788,53
2789,51
2790,44
2791,59
2792,57
2793,49
2794,66
2795,64
2796,49
2797,55
2798,72
2799,62
2800,63
2801,61
2802,57
2803,57
2804,49
2805,40
2806,51
2807,52
2808,49
2809,55
2810,66
2811,66
2812,65
2813,42
2814,66
2815,67
2816,43
2817,53
2818,57
2819,49
2820,55
2821,57
2822,55
2823,55
2824,53
2825,75
2826,55
2827,57
2828,53
2829,53
2830,55
2831,51
2832,46
2833,46
2834,57
2835,59
2836,53
2837,42
2838,51
2839,62
2840,63
2841,57
2842,49
2843,66
2844,62
2845,46
2846,42
2847,49
2848,57
2849,51
2850,35
2851,42
2852,59
2853,46
2854,53
2855,57
2856,68
2857,57
2858,59
2859,57
2860,68
2861,64
2862,49
2863,57
2864,55
2865,64
2866,62
2867,59
2868,67
2869,66
2870,49
2871,44
2872,64
2873,64
2874,53
2875,48
2876,36
2877,75
2878,53
2879,55
2880,49
2881,62
2882,57
2883,61
2884,62
2885,64
2886,72
2887,72
2888,53
2889,57
2890,57
2891,53
2892,53
2893,62
2894,62
2895,66
2896,59
2897,55
2898,49
2899,42
2900,59
2901,77
2902,40
2903,49
2904,53
2905,44
2906,62
2907,55
2908,51
2909,53
2910,55
2911,59
2912,59
2913,66
2914,46
2915,53
2916,68
2917,57
2918,51
2919,61
2920,59
2921,66
2922,68
2923,59
2924,62
2925,62
2926,74
2927,66
2928,53
2929,51
2930,49
2931,62
2932,62
2933,68
2934,62
2935,65
2936,51
2937,44
2938,44
2939,59
2940,51
2941,51
2942,53
2943,42
2944,70
2945,57
2946,55
2947,72
2948,57
2949,40
2950,64
2951,57
2952,66
2953,70
2954,55
2955,66
2956,68
2957,66
2958,55
2959,66
2960,68
2961,62
2962,40
2963,57
2964,68
2965,36
2966,55
2967,62
2968,55
2969,64
2970,53
2971,64
2972,53
2973,68
2974,46
2975,62
2976,66
2977,70
2978,42
2979,38
2980,58
2981,55
2982,51
2983,40
2984,66
2985,64
2986,55
2987,59
2988,55
2989,62
2990,57
2991,49
2992,62
2993,68
2994,55
2995,51
2996,55
